institution,name,email,phone,other_info
Biržų rajono savivaldybė Širvėnos seniūnija,Gražina Samulionienė,sirvena@birzai.lt,,
Druskininkų savivaldybė Leipalingio seniūnija,Antanas Krancevičius,antanas.k@druskininkai.lt,,
Druskininkų savivaldybė Viečiūnų seniūnija,Alvydas Varanis,seniunas@vieciunai.lt,,
Elektrėnų savivaldybė Beižionių seniūnija,Mindaugas Makūnas,beizioniu.sen@elektrenai.lt,,
Elektrėnų savivaldybė Elektrėnų seniūnija,Antanas Šalkauskas,seniunija@elektrenai.lt,,
Elektrėnų savivaldybė Gilučių seniūnija,Vytautas Baltulionis,giluciu.sen@elektrenai.lt,,
Elektrėnų savivaldybė Kazokiškių seniūnija,Vladislava Valantavičienė,kazokiskiu.sen@elektrenai.lt,,
Elektrėnų savivaldybė Kietaviškių seniūnija,Dovilija Cibulskienė,kietaviskiu.sen@elektrenai.lt,,
Elektrėnų savivaldybė Pastrėvio seniūnija,Arūnas Kanapeckas,pastrevio.sen@elektrenai.lt,,
Elektrėnų savivaldybė Semeliškių seniūnija,Vytas Barzdaitis,semeliskiu.sen@elektrenai.lt,,
Elektrėnų savivaldybė Vievio seniūnija,Zenonas Pukėnas,vievio.sen@elektrenai.lt,,
Ignalinos rajono savivaldybė Ceikinių seniūnija,Juozas Velička,cs@ignalina.lt,,
Ignalinos rajono savivaldybė Didžiasalio seniūnija,Gema Pundienė,dids@ignalina.lt,,
Ignalinos rajono savivaldybė Dūkšto seniūnija,Vytautas Kazėnas,duks@ignalina.lt,,
Ignalinos rajono savivaldybė Ignalinos miesto seniūnija,Valentinas Rumbutis,ims@ignalina.lt,,
Ignalinos rajono savivaldybė Ignalinos seniūnija,Jonas Polito,is@ignalina.lt,,
Ignalinos rajono savivaldybė Kazitiškio seniūnija,Drąsutis Jelinskas,ks@ignalina.lt,,
Ignalinos rajono savivaldybė Linkmenų seniūnija,Jonas Alekna,ls@ignalina.lt,,
Ignalinos rajono savivaldybė Mielagėnų seniūnija,Milda Bielinienė,ms@ignalina.lt,,
Ignalinos rajono savivaldybė Naujojo Daugėliškio seniūnija,Juozas Paukštė,daugs@ignalina.lt,,
Ignalinos rajono savivaldybė Rimšės seniūnija,Tatjana Jarutienė,rs@ignalina.lt,,
Ignalinos rajono savivaldybė Tverečiaus seniūnija,Česė Vitėnienė,ts@ignalina.lt,,
Ignalinos rajono savivaldybė Vidiškių seniūnija,Vigalija Matkėnienė,vs@ignalina.lt,,
Jonavos rajono savivaldybė Bukonių seniūnija,Kazys Damulevičius,bukoniu.seniunija@jonava.lt,,
Jonavos rajono savivaldybė Dumsių seniūnija,Algirdas Paplonskis,dumsiu.seniunija@jonava.lt,,
Jonavos rajono savivaldybė Jonavos miesto seniūnija,Ignas Stundys,jonavos.seniunija@jonava.lt,,
Jonavos rajono savivaldybė Kulvos seniūnija,Juozas Plukys,kulvos.seniunija@jonava.lt,,
Jonavos rajono savivaldybė Ruklos seniūnija,Gintas Jasiulionis,ruklos.seniunija@jonava.lt,,
Jonavos rajono savivaldybė Upninkų seniūnija,Laimutė Alechnavičienė,upninku.seniunija@jonava.lt,,
Jonavos rajono savivaldybė Užusalių seniūnija,Vijolė Šadauskienė,uzusaliu.seniunija@jonava.lt,,
Jonavos rajono savivaldybė Šilų seniūnija,Irena Kuršatienė,silu.seniunija@jonava.lt,,
Jonavos rajono savivaldybė Žeimių seniūnija,Faustas Pilipavičius,zeimiu.seniunija@jonava.lt,,
Joniškio rajono savivaldybė Gaižaičių seniūnija,Stanislava Andrulaitienė,gaizaiciai.seniunija@joniskis.lt,,
Joniškio rajono savivaldybė Gataučių seniūnija,Janina Kadienė,gatauciai.seniunija@joniskis.lt,,
Joniškio rajono savivaldybė Joniškio seniūnija,Janina Augustinaitienė,seniunija@joniskis.lt,,
Joniškio rajono savivaldybė Kepalių seniūnija,Eugenijus Karklius,kepaliai.seniunija@joniskis.lt,,
Joniškio rajono savivaldybė Kriukų seniūnija,Audronė Impolienė,kriukai.seniunija@joniskis.lt,,
Joniškio rajono savivaldybė Rudiškių seniūnija,Valentas Žibaitis,rudiskiai.seniunija@joniskis.lt,,
Joniškio rajono savivaldybė Satkūnų seniūnija,Regina Butkienė,satkunai.seniunija@joniskis.lt,,
Joniškio rajono savivaldybė Saugėlaukio seniūnija,Edita Nakvosienė,saugelaukis.seniunija@joniskis.lt,,
Joniškio rajono savivaldybė Skaistgirio seniūnija,Virginija Kaikarienė,skaistgirys.seniunija@joniskis.lt,,
Joniškio rajono savivaldybė Žagarės seniūnija,Stasė Eidukienė,zagares.seniunija@joniskis.lt,,
Jurbarko rajono savivaldybė Eržvilko seniūnija,Jonas Aleksiejus,erzvilkas@jurbarkas.lt,,
Jurbarko rajono savivaldybė Girdžių seniūnija,Darius Juodaitis,girdziai@jurbarkas.lt,,
Jurbarko rajono savivaldybė Juodaičių seniūnija,Alvina Bunikienė,juodaiciai@jurbarkas.lt,,
Jurbarko rajono savivaldybė Jurbarko miesto seniūnija,Edvardas Strončikas,jurbarkas@jurbarkas.lt,,
Jurbarko rajono savivaldybė Jurbarkų seniūnija,Audronis Kačiušis,jurbarkai@jurbarkas.lt,,
Jurbarko rajono savivaldybė Raudonės seniūnija,Česlovas Meškauskas,raudone@jurbarkas.lt,,
Jurbarko rajono savivaldybė Seredžiaus seniūnija,Jonas Pikoraitis,seredzius@jurbarkas.lt,,
Jurbarko rajono savivaldybė Skirsnemunės seniūnija,Vladas Vainauskis,skirsnemune@jurbarkas.lt,,
Jurbarko rajono savivaldybė Smalininkų seniūnija,Saulius Jarutis,smalininkai@jurbarkas.lt,,
Jurbarko rajono savivaldybė Veliuonos seniūnija,Mindaugas Šlepševičius,veliuona@jurbarkas.lt,,
Jurbarko rajono savivaldybė Viešvilės seniūnija,Valentinas Kucinas,viesvile@jurbarkas.lt,,
Jurbarko rajono savivaldybė Šimkaičių seniūnija,Elena Šileikienė,simkaiciai@jurbarkas.lt,,
Kaišiadorių rajono savivaldybė Kaišiadorių apylinkės seniūnija,Gražina Škimelienė,kaisiadoriu.apylinke@kaisiadorys.lt,,
Kaišiadorių rajono savivaldybė Kaišiadorių miesto seniūnija,Laima Katelevskienė,kaisiadoriu.seniunija@kaisiadorys.lt,,
Kaišiadorių rajono savivaldybė Kruonio seniūnija,Gintaras Gružauskas,kruonio.seniunas@kaisiadorys.lt,,
Kaišiadorių rajono savivaldybė Nemaitonių seniūnija,Genė Juodienė,nemaitoniu.seniunas@kaisiadorys.lt,,
Kaišiadorių rajono savivaldybė Palomenės seniūnija,Alvydas Kazlauskas,palomenes.seniunas@kaisiadorys.lt,,
Kaišiadorių rajono savivaldybė Paparčių seniūnija,Bolius Perednis,paparciu.seniunas@kaisiadorys.lt,,
Kaišiadorių rajono savivaldybė Pravieniškių seniūnija,Galina Jengalyčeva,pravieniskiu.seniunas@kaisiadorys.lt,,
Kaišiadorių rajono savivaldybė Rumšiškių seniūnija,Eugenija Genevičienė,eugenija.geneviciene@kaisiadorys.lt,,
Kaišiadorių rajono savivaldybė Žaslių seniūnija,Egidijus Grajauskas,zasliu.seniunas@kaisiadorys.lt,,
Kaišiadorių rajono savivaldybė Žiežmarių apylinkės seniūnija,Albinas Kmeliauskas,ziezmariu.apylinke@kaisiadorys.lt,,
Kaišiadorių rajono savivaldybė Žiežmarių seniūnija,Pranas Antanas Aleknavičius,ziezmariu.seniunas@kaisiadorys.lt,,
Kalvarijos savivaldybė Akmenynų seniūnija,Jaunutis Antanas Kazlauskas,akmenynai@kalvarija.lt,,
Kalvarijos savivaldybė Kalvarijos seniūnija,Vilija Remeikienė,seniunija@kalvarija.lt,,
Kalvarijos savivaldybė Liubavo seniūnija,Gintas Baliulis,liubavas@kalvarija.lt,,
Kalvarijos savivaldybė Sangrūdos seniūnija,Marė Rasytė Skilandienė,sangruda@kalvarija.lt,,
Kauno miesto savivaldybė Aleksoto seniūnija,Lukrecija Navickienė,aleksotas@kaunas.lt,,
Kauno miesto savivaldybė Centro seniūnija,Vytautas Pauliukas,centras@kaunas.lt,,
Kauno miesto savivaldybė Dainavos seniūnija,Alvydas Malinauskas,dainava@kaunas.lt,,
Kauno miesto savivaldybė Eigulių seniūnija,Ovidijus Adomaitis,eiguliai@kaunas.lt,,
Kauno miesto savivaldybė Gričiupio seniūnija,Jolanta Žakevičienė,griciupis@kaunas.lt,,
Kauno miesto savivaldybė Panemunės seniūnija,Rasina Žolynienė,panemune@kaunas.lt,,
Kauno miesto savivaldybė Petrašiūnų seniūnija,Algimantas Vilkevičius,petrasiūnai@kaunas.lt,,
Kauno miesto savivaldybė Vilijampolės seniūnija,Algimantas Mickevičius,vilijampole@kaunas.lt,,
Kauno miesto savivaldybė Šančių seniūnija,Ričardas Rusteika,sanciai@kaunas.lt,,
Kauno miesto savivaldybė Šilainių seniūnija,Gintautas Sinkevičius,silainiai@kaunas.lt,,
Kauno miesto savivaldybė Žaliakalnio seniūnija,Bronius Girdauskas,zaliakalnis@kaunas.lt,,
Kauno rajono savivaldybė Akademijos seniūnija,Dovilė Valentaitė,seniunija@akademija.krs.lt,,
Kauno rajono savivaldybė Alšėnų seniūnija,Arūnas Stašaitis,seniunija@alsenai.krs.lt,,
Kauno rajono savivaldybė Babtų seniūnija,Jonas Praškevičius,seniunija@babtai.krs.lt,,
Kauno rajono savivaldybė Batniavos seniūnija,Vytautas Astromskas,seniūnija@batniava.krs.lt,,
Kauno rajono savivaldybė Domeikavos seniūnija,Raimondas Stankus,seniunija@domeikava.krs.lt,,
Kauno rajono savivaldybė Ežerėlio seniūnija,Gedvydas Celiešius,seniunija@ezerelis.krs.lt,,
Kauno rajono savivaldybė Garliavos apylinkių seniūnija,Eimuntas Raugevičius,seniunija@garliavosap.krs.lt,,
Kauno rajono savivaldybė Garliavos seniūnija,Rasa Grigienė,seniunija@garliava.krs.lt,,
Kauno rajono savivaldybė Karmėlavos seniūnija,Henrikas Petrusevičius,seniunija@karmelava.krs.lt,,
Kauno rajono savivaldybė Kačerginės seniūnija,Algirdas Tatarūnis,seniunija@kacergine.krs.lt,,
Kauno rajono savivaldybė Kulautuvos seniūnija,Eglė Endrikaitė,seniunija@kulautuva.krs.lt,,
Kauno rajono savivaldybė Lapių seniūnija,Rimantas Stankus,seniunija@lapes.krs.lt,,
Kauno rajono savivaldybė Linksmakalnio seniūnija,Vaclovas Žvirblis,seniunija@linksmakalnis.krs.lt,,
Kauno rajono savivaldybė Neveronių seniūnija,Vida Kelermanienė,seniunija@neveronys.krs.lt,,
Kauno rajono savivaldybė Raudondvario seniūnija,Tomas Gaidamonis,seniunija@raudondvaris.krs.lt,,
Kauno rajono savivaldybė Ringaudų seniūnija,Viktoras Petravičius,seniunija@ringaudai.krs.lt,,
Kauno rajono savivaldybė Rokų seniūnija,Antanas Isoda,seniunija@rokai.krs.lt,,
Kauno rajono savivaldybė Samylų seniūnija,Saulius Banionis,seniunija@samylai.krs.lt,,
Kauno rajono savivaldybė Taurakiemio seniūnija,Danutė Glinskienė,seniunija@taurakiemis.krs.lt,,
Kauno rajono savivaldybė Užliedžių seniūnija,Jūratė Truncienė,seniūnija@uzliedziai.krs.lt,,
Kauno rajono savivaldybė Vandžiogalos seniūnija,Marius Norvaiša,seniunija@vandziogala.krs.lt,,
Kauno rajono savivaldybė Vilkijos apylinkių seniūnija,Arūnas Bačiūnas,seniunija@vilkijosap.krs.lt,,
Kauno rajono savivaldybė Vilkijos seniūnija,Leonardas Deglius,seniunija@vilkija.krs.lt,,
Kauno rajono savivaldybė Zapyškio seniūnija,Jonas Stelmokas,seniunija@zapyskis.krs.lt,,
Kauno rajono savivaldybė Čekiškės seniūnija,Mečislovas Zavedskas,seniunija@cekiske.krs.lt,,
Kazlų Rūdos savivaldybė Antanavo seniūnija,Arūnas Aleksa,antanavas@kazluruda.lt,,
Kazlų Rūdos savivaldybė Jankų seniūnija,Juozas Rimgaudas Olekas,jankai@kazluruda.lt,,
Kazlų Rūdos savivaldybė Kazlų Rūdos seniūnija,Ingrida Černiauskienė,seniunija@kazluruda.lt,,
Kazlų Rūdos savivaldybė Plutiškių seniūnija,Arūnas Arlauskas,plutiskiu.seniunija@is.lt,,
Kelmės rajono savivaldybė Kelmės apylinkių seniūnija,Albinas Sutkus,naudvaris@kelme.lt,,
Kelmės rajono savivaldybė Kelmės seniūnija,Romas Atkočaitis,seniunija@kelme.lt,,
Kelmės rajono savivaldybė Kražių seniūnija,Vaclovas Andrulis,kraziai@kelme.lt,,
Kelmės rajono savivaldybė Kukečių seniūnija,Meilutė Masalskienė,kukeciu@kelme.lt,,
Kelmės rajono savivaldybė Liolių seniūnija,Vytautas Mikalauskas,lioliai@kelme.lt,,
Kelmės rajono savivaldybė Pakražančio seniūnija,Alfonsas Sakalauskas,pakrazantis@kelme.lt,,
Kelmės rajono savivaldybė Tytuvėnų apylinkių seniūnija,Stanislovas Baltrušaitis,tytuvenu-apyl@kelme.lt,,
Kelmės rajono savivaldybė Tytuvėnų seniūnija,Romas Čerkauskas,tytuvenai@kelme.lt,,
Kelmės rajono savivaldybė Vaiguvos seniūnija,Alvydas Lukošius,vaiguva@kelme.lt,,
Kelmės rajono savivaldybė Šaukėnų seniūnija,Algimantas Šukys,saukenai@kelme.lt,,
Klaipėdos rajono savivaldybė Agluonėnų seniūnija,Laima Tučienė,agluonenai@klaipedos-r.lt,,
Klaipėdos rajono savivaldybė Dauparų-Kvietinių seniūnija,Aušra Norvilienė,a.norviliene@klaipedos-r.lt,,
Klaipėdos rajono savivaldybė Dovilų seniūnija,Nijolė Ilginienė,dovilai@klaipedos-r.lt,,
Klaipėdos rajono savivaldybė Endriejavo seniūnija,Laimutė Šunokienė,endriejavas@klaipedos-r.lt,,
Klaipėdos rajono savivaldybė Gargždų seniūnija,Saulius Bakšinskis,gargzdu.sen@klaipedos-r.lt,,
Klaipėdos rajono savivaldybė Judrėnų seniūnija,Zigmantas Siminauskas,z.siminauskas@klaipedos-r.lt,,
Klaipėdos rajono savivaldybė Kretingalės seniūnija,Vytautas Gūžas,klaipedos_r.kretingales@seniunija.gov.lt,,
Klaipėdos rajono savivaldybė Priekulės seniūnija,Valerijus Velkas,v.velkas@klaipedos-r.lt,,
Klaipėdos rajono savivaldybė Sendvario seniūnija,Juozas Lingis,sendvario.sen@klaipedos-r.lt,,
Klaipėdos rajono savivaldybė Veiviržėnų seniūnija,Jadvyga Radžienė,j.radziene@klaipedos-r.lt,,
Klaipėdos rajono savivaldybė Vėžaičių seniūnija,Liudas Laukaitis,vezaiciusen@klaipedos-r.lt,,
Kretingos rajono savivaldybė Darbėnų seniūnija,Edvardas Tedevušas Stalmokas,seniunas.darbenai@kretinga.lt,,
Kretingos rajono savivaldybė Imbarės seniūnija,Antanas Turauskis,seniunas.imbare@kretinga.lt,,
Kretingos rajono savivaldybė Kartenos seniūnija,Aistė Ivanovaitė,seniunas.kartena@kretinga.lt,,
Kretingos rajono savivaldybė Kretingos miesto seniūnija,Stanislovas Juknevičius,seniunas.miestas@kretinga.lt,,
Kretingos rajono savivaldybė Kretingos seniūnija,Antanas Gedminas,seniunas.kaimas@kretinga.lt,,
Kretingos rajono savivaldybė Kūlupėnų seniūnija,Algirdas Macius,seniunas.kulupenai@kretinga.lt,,
Kretingos rajono savivaldybė Salantų miesto seniūnija,Kazimieras Galdikas,seniunas.salantai@kretinga.lt,,
Kretingos rajono savivaldybė Žalgirio seniūnija,Povilas Šližius,seniunas.zalgiris@kretinga.lt,,
Kupiškio rajono savivaldybė Alizavos seniūnija,Antanas Alkauskas,alizava.sen@zebra.lt,,
Kupiškio rajono savivaldybė Kupiškio seniūnija,Julius Vytautas Semėnas,kupiskio.seniunija@kupiskis.lt,,
Kupiškio rajono savivaldybė Noriūnų seniūnija,Algirdas Navickas,noriunai@vipt.erdves.lt,,
Kupiškio rajono savivaldybė Skapiškio seniūnija,Valdas Juškevičius,skapiskis.sen@zebra.lt,,
Kupiškio rajono savivaldybė Subačiaus seniūnija,Vidmantas Paliulis,,,
Kupiškio rajono savivaldybė Šimonių seniūnija,Algirdas Kairys,simonys.sen@zebra.lt,,
Kėdainių rajono savivaldybė Dotnuvos seniūnija,Eduardas Rakauskas,dotnuvos.seniunija@kedainiai.lt,,
Kėdainių rajono savivaldybė Gudžiūnų seniūnija,Regimantas Valiauskas,gudziunu.seniunija@kedainiai.lt,,
Kėdainių rajono savivaldybė Josvainių seniūnija,Algimantas Sirvidas,josvainiu.seniunija@kedainiai.lt,,
Kėdainių rajono savivaldybė Krakių seniūnija,Jonas Dalbokas,krakiu.seniunija@kedainiai.lt,,
Kėdainių rajono savivaldybė Kėdainių miesto seniūnija,Alvydas Kleiva,miesto.seniunija@kedainiai.lt,,
Kėdainių rajono savivaldybė Pelėdnagių seniūnija,Valentinas Tamulis,pelednagiu.seniunija@kedainiai.lt,,
Kėdainių rajono savivaldybė Pernaravos seniūnija,Artūras Gustas,pernaravos.seniunija@kedainiai.lt,,
Kėdainių rajono savivaldybė Surviliškio seniūnija,Vanda Petrauskienė,surviliskio.seniunija@kedainiai.lt,,
Kėdainių rajono savivaldybė Truskavos seniūnija,Vytautas Zakaryza,truskavos.seniūnija@kedainiai.lt,,
Kėdainių rajono savivaldybė Vilainių seniūnija,Bružas Antanas,vilainiu.seniunija@kedainiai.lt,,
Kėdainių rajono savivaldybė Šėtos seniūnija,Petras Pupkus,setos.seniunija@kedainiai.lt,,
Lazdijų rajono savivaldybė Būdviečio seniūnija,Arūnas Kundrotas,budvietis@lazdijai.lt,,
Lazdijų rajono savivaldybė Kapčiamiesčio seniūnija,Vidmantas Dambrauskas,kapciamiestis@lazdijai.lt,,
Lazdijų rajono savivaldybė Krosnos seniūnija,Sigina Basevičienė,krosna@lazdijai.lt,,
Lazdijų rajono savivaldybė Kučiūnų seniūnija,Lina Marcinkevičienė,kuciunai@lazdijai.lt,,
Lazdijų rajono savivaldybė Lazdijų miesto seniūnija,Vaida Gazdziauskienė,lazdijum@lazdijai.lt,,
Lazdijų rajono savivaldybė Lazdijų seniūnija,Valdas Petras Mikelionis,lazdijuk@lazdijai.lt,,
Lazdijų rajono savivaldybė Noragėlių seniūnija,Irena Uleckienė,norageliai@lazdijai.lt,,
Lazdijų rajono savivaldybė Seirijų seniūnija,Česlova Šmulkštienė,seirijai@lazdijai.lt,,
Lazdijų rajono savivaldybė Teizų seniūnija,Rima Didžiūnienė,teizai@lazdijai.lt,,
Lazdijų rajono savivaldybė Veisiejų miesto seniūnija,Juozas Rutkauskas,veisiejum@lazdijai.lt,,
Lazdijų rajono savivaldybė Veisiejų seniūnija,Zenonas Sabaliauskas,veisiejuk@lazdijai.lt,,
Lazdijų rajono savivaldybė Šeštokų seniūnija,Ona Aldona Surdokienė,sestokai@lazdijai.lt,,
Lazdijų rajono savivaldybė Šlavantų seniūnija,Julija Maziukienė,slavantai@lazdijai.lt,,
Lazdijų rajono savivaldybė Šventežerio seniūnija,Aldona Burbienė,sventezeris@lazdijai.lt,,
Marijampolės savivaldybė Degučių seniūnija,Valda Rėklienė,deguciu.sen@marijampole.lt,,
Marijampolės savivaldybė Gudelių seniūnija,Algirdas Murauskas,gudeliai@marijampole.lt,,
Marijampolės savivaldybė Igliaukos seniūnija,Vytautas Baltušnikas,igliauka@marijampole.lt,,
Marijampolės savivaldybė Liudvinavo seniūnija,Irena Lunskienė,liudvinavas@marijampole.lt,,
Marijampolės savivaldybė Marijampolės seniūnija,Juozas Milius,marijampoles.sen@marijampole.lt,,
Marijampolės savivaldybė Mokolų seniūnija,Eglė Plikaitienė,mokolu.sen@marijampole.lt,,
Marijampolės savivaldybė Narto seniūnija,Algirdas Kaltauskas,narto.sen@marijampole.lt,,
Marijampolės savivaldybė Sasnavos seniūnija,Nijolė Smilgienė,sasnava@marijampole.lt,,
Marijampolės savivaldybė Šunskų seniūnija,Rimantas Lekeckas,sunskai@marijampole.lt,,
Mažeikių rajono savivaldybė Laižuvos seniūnija,Stanislovas Putelis,laizuva@mazeikiai.lt,,
Mažeikių rajono savivaldybė Mažeikių apylinkės seniūnija,Vidmantas Kesminas,maz.apylinke@mazeikiai.lt,,
Mažeikių rajono savivaldybė Mažeikių seniūnija,Šarūnas Armonas,miestas@mazeikiai.lt,,
Mažeikių rajono savivaldybė Reivyčių seniūnija,Algimantas Auškalnis,reivyciai@mazeikiai.lt,,
Mažeikių rajono savivaldybė Sedos seniūnija,Algirdas Grinkevičius,seda@mazeikiai.lt,,
Mažeikių rajono savivaldybė Tirkšlių seniūnija,Klemas Sobutas,mazeikiu.tirksliu@seniunija.gov.lt,,
Mažeikių rajono savivaldybė Viekšnių seniūnija,Aldonis Eselinas,vieksniai@mazeikiai.lt,,
Mažeikių rajono savivaldybė Šerkšnėnų seniūnija,Alfonsas Šakauskas,serksnenai@mazeikiai.lt,,
Mažeikių rajono savivaldybė Židikų seniūnija,Stanislava Valatkevičienė,zidikai@mazeikiai.lt,,
Molėtų rajono savivaldybė Alantos seniūnija,Jonas Kemėšius,alanta@moletai.lt,,
Molėtų rajono savivaldybė Balninkų seniūnija,Virginija Pusvaškienė,balninkai@moletai.lt,,
Molėtų rajono savivaldybė Dubingių seniūnija,Kęstutis Kaminskas,dubingiai@moletai.lt,,
Molėtų rajono savivaldybė Giedraičių seniūnija,Vytautas Valansevičius,giedraiciai@moletai.lt,,
Molėtų rajono savivaldybė Inturkės seniūnija,Vyda Vaickelionienė,inturke@moletai.lt,,
Molėtų rajono savivaldybė Joniškio seniūnija,Rimantas Verbaitis,joniskis@moletai.lt,,
Molėtų rajono savivaldybė Luokesos seniūnija,Laimutė Repečkienė,luokesa@moletai.lt,,
Molėtų rajono savivaldybė Mindūnų seniūnija,Virginija Salapėtienė,mindunai@moletai.lt,,
Molėtų rajono savivaldybė Suginčių seniūnija,Jonas Pusvaškis,suginciai@moletai.lt,,
Molėtų rajono savivaldybė Videniškių seniūnija,Genovaitė Mozūrienė,videniskiai@moletai.lt,,
Molėtų rajono savivaldybė Čiulėnų seniūnija,Antanina Čičiurkienė,ciulenai@moletai.lt,,
Neringos savivaldybė Juodkrantės seniūnija,Angelina Stakauskienė,-,,
Neringos savivaldybė Preilos-Pervalkos seniūnija,Edita Radzevičienė,-,,
Pagėgių savivaldybė Lumpėnų seniūnija,Danguolė Mikelienė,lumpenai@pagegiai.lt,,
Pagėgių savivaldybė Natkiškių seniūnija,Vilyta Sirtautienė,natkiškiai@pagegiai.lt,,
Pagėgių savivaldybė Pagėgių seniūnija,Alvidas Einikis,pagegiai.seniunija@pagegiai.lt,,
Pagėgių savivaldybė Stoniškių seniūnija,Bagdonas Bagdonas,stoniskiai@pagegiai.lt,,
Pagėgių savivaldybė Vilkyškių seniūnija,Stasys Petras Norvilas,vilkyskiai@info.lt,,
Pakruojo rajono savivaldybė Guostagalio seniūnija,Jonas Jocius,guostagalioseniunas@pakruojis.lt,,
Pakruojo rajono savivaldybė Klovainių seniūnija,Romualdas Staišiūnas,klovainiuseniunija@gmail.com,,
Pakruojo rajono savivaldybė Linkuvos seniūnija,Kazimiera Bacevičienė,linkuva@pakruojis.lt,,
Pakruojo rajono savivaldybė Lygumų seniūnija,Gediminas Poliakas,lygumai@siauliai.aps.lt,,
Pakruojo rajono savivaldybė Pakruojo seniūnija,Virginijus Grigonis,pakruojoseniunija@pakruojis.lt,,
Pakruojo rajono savivaldybė Pašvitinio seniūnija,Rima Krištopaitienė,pasvitinys@pakruojis.lt,,
Pakruojo rajono savivaldybė Rozalimo seniūnija,Juozas Venckus,rozsen@takas.lt,,
Pakruojo rajono savivaldybė Žeimelio seniūnija,Algirdas Budnikas,zeimelis@siauliai.aps.lt,,
Palangos miesto savivaldybė Šventosios seniūnija,Eugenijus Čilinskas,seniunija@palanga.lt,,
Panevėžio rajono savivaldybė Krekenavos seniūnija,Jonas Ulis,krekenavos@panrs.lt,,
